1;0;0;0;1.687;-0.09296;101525
1.081;0.3007;0.2118;0.5141;1.078;-0.5824;101525
0.7205;0.3016;0.1048;0.274;0.7268;0.1962;101525
1.245;0.3893;0.175;0.3744;1.094;-0.03742;101525
0.657;0.1279;0.2369;0.1467;0.9057;0.3551;101525
0.5316;0.1905;0.1675;0.1938;0.5277;0.2157;101525
0.7523;0.3285;0.09508;0.1549;1.018;0.1758;101525
1.063;0.2957;0.1795;0.2769;1.111;-0.303;101525
2.236;0.9519;0.5261;0.6914;2.595;-1.055;101525
0.4038;0.07789;0.1277;0.1906;0.3735;0.0179;101525
0.7638;0.2415;0.1925;0.2835;0.6863;-0.8411;101525
0.5012;0.1946;0.04781;-0.00884;0.582;0.2105;101525
0.7072;0.224;0.2731;0.2396;0.701;0.1885;101525
0.8692;0.5161;0.3291;0.274;1.471;0.05059;101525
0.849;0.1503;0.1342;0.1839;0.9069;0.2049;101525
0.4017;0.152;0.002945;0.08745;0.4803;-0.1796;101525
1.71;0.7682;0.4707;0.18;2.555;-1.048;101525
0.5535;0.2613;0.06769;0.06592;0.5797;0.2906;101525
0.3055;0.1197;0.05464;0.0365;0.219;0.001196;101525
0.665;0.403;0.03226;0.1987;0.7268;0.2392;101525
2.787;1.099;0.5367;0.837;3;0.5245;101525
0.3097;0.1296;0.1468;0.03815;0.6183;0.1333;101525
0.7902;0.4257;0.3755;0.1394;0.7644;0.3103;101525
0.8926;0.133;0.2946;0.1897;1.004;0.1493;101525
1.14;0.2562;0.2875;0.3407;1.25;-0.09655;101525
0;1;0;0;0.6356;-0.0275;101525
-0.008907;0.3666;0.1283;0.1506;0.5482;0.3645;101525
0.1477;1.575;0.07243;0.4039;1.655;-2.513;101525
0.1149;0.6276;-0.02944;0.07169;0.4988;-0.1139;101525
0.3019;1.356;0.1841;0.452;1.713;0.177;101525
0.187;0.5235;0.2295;0.2888;0.8177;0.115;101525
0.2933;1.267;0.4091;0.3321;1.658;0.7523;101525
0.273;1.038;0.3394;0.2762;1.263;0.4353;101525
-0.01875;0.5227;-0.03635;0.2274;0.7119;0.204;101525
0.2062;1.285;0.4254;0.1483;1.593;0.5931;101525
0.1071;0.4091;0.1138;-0.0198;0.7656;0.4567;101525
0.2686;1.203;0.2801;0.2155;1.34;0.8865;101525
0.2059;0.6039;0.1509;0.1515;0.7014;-0.02948;101525
-0.03159;1.48;0.176;0.1549;1.842;0.952;101525
0.1884;1.23;0.1124;0.2179;1.687;0.9203;101525
0.1097;1.075;0.1001;0.3809;1.431;0.331;101525
0.4617;1.312;0.241;0.2343;1.984;0.9268;101525
0.3276;0.912;0.2377;0.02454;0.8848;-0.4117;101525
-0.09599;0.4973;0.1818;0.2689;0.5578;-0.2009;101525
0.513;1.332;0.5005;0.4946;1.405;0.3802;101525
-0.06768;0.7403;0.1819;0.2205;0.8601;0.2554;101525
0.08201;0.2635;-0.05931;-0.04705;0.3433;-0.0878;101525
0.09747;0.883;0.1807;0.2545;1.344;0.8862;101525
0.09811;1.021;0.3553;0.2101;1.058;0.5081;101525
0.1002;1.4;0.3726;0.4147;1.342;-1.197;101525
0;0;1;0;0.3277;0.1489;101525
0.4457;0.114;1.249;0.1742;1.152;-0.966;101525
0.3773;0.01983;1.122;0.09604;1.345;-0.333;101525
0.3048;0.03988;0.9574;0.3739;1.138;0.2383;101525
0.06475;-0.08156;0.2098;0.03451;0.2234;0.02734;101525
0.522;0.327;1.954;0.3654;2.367;1.09;101525
0.177;0.0594;0.5154;0.07932;0.6447;0.2485;101525
0.1932;0.1288;0.4883;0.05416;0.7356;0.4999;101525
-0.0925;0.2603;1.896;0.3662;2.833;0.885;101525
0.2777;0.1956;2.267;0.4024;2.877;1.555;101525
-0.001507;0.04918;0.649;0.1973;0.884;-0.3794;101525
0.4342;0.1578;1.826;0.5724;2.189;0.1017;101525
0.2476;0.2288;1.504;0.8483;2.169;0.4687;101525
-0.009661;0.167;0.5148;0.0723;0.6813;0.06799;101525
0.02395;0.05231;0.4177;0.1059;0.4911;-0.5703;101525
0.1065;-0.08044;0.4522;0.1629;0.3999;-0.1176;101525
0.5099;0.2842;1.358;0.5083;1.563;-0.138;101525
0.1498;0.1461;0.4155;0.0979;0.5637;0.05239;101525
0.127;0.1883;0.764;0.1262;0.8261;0.1668;101525
0.135;0.111;1.364;0.3287;1.666;-0.04518;101525
0.1234;0.2446;1.082;0.2845;1.297;0.5629;101525
0.1092;0.204;0.393;0.1852;0.6654;-0.5999;101525
0.3178;0.1198;1.796;0.7776;2.325;-1.707;101525
0.7346;0.3245;2.108;0.5784;2.669;0.8019;101525
0.1662;0.008823;1.043;0.3085;1.102;0.01592;101525
0;0;0;1;1.323;-0.04252;101525
0.5071;0.6342;0.0003319;1.488;1.691;-0.2573;101525
0.1019;0.05259;0.1152;0.3191;0.5035;0.2814;101525
0.1139;0.2926;0.06003;0.5354;0.5101;0.2111;101525
0.1798;0.3691;0.03094;1.106;1.574;-0.09852;101525
0.3694;0.137;0.01314;0.8684;0.9062;-0.09639;101525
-0.04168;0.07126;0.1026;0.4405;0.6755;0.2693;101525
-0.02487;0.08949;-0.04647;0.2243;0.4018;0.2269;101525
0.3468;0.268;0.4754;1.659;1.836;0.8325;101525
0.1804;0.05228;0.03081;0.8401;1.121;0.4879;101525
0.2365;0.1751;-0.01656;1.353;1.627;0.5925;101525
0.3966;0.2233;-0.03777;1.147;1.283;0.06123;101525
0.1722;-0.1574;0.4127;1.642;1.84;0.2278;101525
0.02845;0.279;-0.04792;0.7708;0.9882;0.5249;101525
0.08943;0.1048;0.1273;0.5607;0.7764;0.4141;101525
0.3274;0.339;0.303;1.554;1.587;-1.483;101525
0.06144;0.195;-0.02925;1.03;1.038;-0.7518;101525
0.3644;0.2768;0.01172;1.105;1.371;0.3595;101525
0.09526;-0.002488;0.1334;0.9477;0.7205;-0.3138;101525
0.2151;0.1204;0.1518;0.4153;0.4371;-0.0952;101525
0.1842;0.03685;0.2319;1.123;1.189;-0.377;101525
0.3634;0.3542;0.2332;1.113;1.32;-0.3023;101525
0.01717;0.169;0.0349;0.2019;0.3147;-0.02953;101525
0.3292;-0.0264;0.2224;0.4435;0.4133;0.08342;101525
0.2901;0.3854;0.2408;1.193;1.511;0.5841;101525
